
   SERVICE              STATE   ENABLED   PID      COMMAND           TIME
 ✔ NetworkManager       run     true      999      NetworkManager    11 minutes
 ✔ acpid                run     true      1001     acpid             11 minutes
 ✔ agetty-tty1          run     true      1008     agetty            11 minutes
 ✔ agetty-tty2          run     true      1005     agetty            11 minutes
 ✔ agetty-tty3          run     true      1002     agetty            11 minutes
 ✔ chronyd              run     true      1004     chronyd           11 minutes
 ✔ dbus                 run     true      996      dbus-daemon       11 minutes
 ✔ lid-led              run     true      1007     /bin/sh           11 minutes
 ✔ nanoklogd            run     true      1215     nanoklogd         11 minutes
 ✔ socklog-unix         run     true      1015     socklog           11 minutes
 ✔ sshd                 run     true      998      sshd: /usr/bin... 11 minutes
 ✔ tlp                  run     true      993      tlp               11 minutes
 ✔ udevd                run     true      1013     udevd             11 minutes

